Beat,CrimesTotal,ASSAULT,BURGLARY,CAR PROWL,DISORDERLY CONDUCT,PROPERTY DAMAGE,ROBBERY,Stores
,,,,,,,,
B1,800,143,203,259,NaN,131,64,4
B2,902,79,283,344,2,133,61,1
B3,1009,51,395,440,NaN,101,22,2
C1,655,67,187,282,NaN,91,28,1
C2,679,23,207,364,NaN,64,21,0
C3,658,59,184,308,NaN,82,25,4
D1,887,142,144,426,NaN,121,54,0
D2,691,55,161,317,NaN,129,29,1
D3,693,110,163,292,NaN,99,29,1
E1,759,126,228,248,1,114,42,0
E2,1048,365,116,336,3,139,89,3
E3,704,128,115,358,NaN,79,24,1
F1,457,90,96,129,NaN,112,30,0
F2,650,53,159,259,1,109,69,1
F3,676,69,185,269,NaN,126,27,0
G1,488,194,42,147,NaN,76,29,0
G2,627,77,121,298,NaN,98,33,0
G3,529,76,71,262,NaN,62,58,0
J1,585,78,147,234,NaN,90,36,0
J2,894,59,262,428,NaN,127,18,0
J3,860,59,250,454,NaN,87,10,0
K1,779,184,80,338,1,120,56,0
K2,622,291,61,151,1,77,41,0
K3,775,286,41,222,NaN,119,107,0
L1,542,74,206,141,NaN,75,46,0
L2,861,63,257,370,NaN,92,79,2
L3,569,68,279,89,NaN,91,42,2
M1,1047,174,111,595,NaN,105,62,0
M2,761,183,169,252,2,69,86,0
M3,672,144,132,226,1,80,89,0
N1,633,39,270,212,NaN,92,20,0
N2,643,112,191,174,2,95,69,0
N3,914,142,220,348,NaN,121,83,0
O1,433,82,38,212,NaN,90,11,0
O2,327,55,127,65,NaN,70,10,3
O3,278,38,101,67,NaN,55,17,1
Q1,694,32,175,346,NaN,115,26,0
Q2,1030,34,318,545,NaN,127,6,1
Q3,969,118,230,423,NaN,143,55,2
R1,610,64,177,189,NaN,115,65,0
R2,666,116,113,269,6,118,44,0
R3,772,47,214,367,4,110,30,1
S1,385,48,149,76,NaN,67,45,0
S2,423,90,108,79,NaN,91,55,0
S3,548,78,172,163,NaN,93,42,0
U1,1013,77,345,374,NaN,171,46,2
U2,896,172,206,287,NaN,143,88,0
U3,990,37,402,385,NaN,143,23,2
W1,622,70,181,247,NaN,105,19,0
W2,604,41,155,259,1,118,30,3
W3,523,18,165,240,NaN,90,10,0
